name,team,battingStyle,bowlingStyle,playingRole,description
Muhammad Waseem(c),United Arab Emirates,Right hand Bat,Right arm Medium,Opening Batter,
Vriitya Aravind,United Arab Emirates,Right hand Bat,,Wicketkeeper Batter,
Basil Hameed,United Arab Emirates,Right hand Bat,Right arm Offbreak,Middle order Batter,
Aryan Lakra,United Arab Emirates,Left hand Bat,Slow Left arm Orthodox,Bowler,
Tanish Suri ,United Arab Emirates,Right hand Bat,,Wicketkeeper Batter,
Ali Naseer,United Arab Emirates,Left hand Bat,Right arm Medium,Allrounder,
Akif Raja,United Arab Emirates,Left hand Bat,Right arm Medium fast,Bowler,
Aayan Afzal Khan,United Arab Emirates,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,
Daniel Smith(c),Philippines,Right hand Bat,Right arm Medium fast,,
Mohammad Rizwan ,Pakistan,Right hand Bat,Right arm Medium,Wicketkeeper Batter,"For several years, it appeared Mohammad Rizwan's international career would only happen in a parallel universe, racking up domestic runs even as he struggled to get a game in the national side. But for someone who played an international for the first time in two years in January 2019, Mohammad Rizwan was spoken of remarkably frequently. Most often, he was used as a stick to threaten current first-choice Pakistan wicketkeeper and captain Sarfaraz Ahmed, but the Peshawar native had qualities of his own that suggested he might have been unfortunate not to play for Pakistan more often. "
Gede Priandana,Indonesia,Right hand Bat,,,
Daniel Smith,Philippines,Right hand Bat,Right arm Medium fast,,
Kepler Lukies,Philippines,Left hand Bat,Slow Left arm Orthodox,,
Zeeshan Ali ,Hong Kong,Right hand Bat,,Wicketkeeper Batter,
Girish Venkateswaran,Luxembourg,Right hand Bat,Right arm Medium fast,Opening Batter,
Shadab Khan,Pakistan,Right hand Bat,Legbreak,Allrounder,"A prodigious turner of the ball, teenage legspinner Shadab Khan burst onto cricket's collective consciousness only during the 2016/17 PSL season. His ability to take wickets while maintaining an excellent economy rate saw him talked up as that most frequent of phenomena: an exciting Pakistani prospect. Shadab is not afraid of bowling the wrong'un either; his only criticism might be that he bowls it a bit too often, but that hasn't helped batsmen pick it up any better, either out of the hand or off the pitch. He's also a useful lower-order right-handed batsman, something that has occasionally been witnessed during his domestic career."
Ferdinando Banunaek,Indonesia,Right hand Bat,Right arm Medium,,
Uday Hathinjar ,Cambodia,Right hand Bat,Right arm Medium,,
Hamed Khan,Hong Kong,Right hand Bat,Right arm Medium,,
Josef Doctora,Philippines,Right hand Bat,Right arm Offbreak,,
Alpesh Ramjani,Uganda,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Gopal Thakur,Malta,Right hand Bat,Right arm Medium,,
Lingeswaran Canessane,France,Right hand Bat,,,
Jordan Alegre,Philippines,Right hand Bat,,,
Dillon Heyliger,Canada,Right hand Bat,Right arm Medium,Bowler,
Grant Russ ,Philippines,Right hand Bat,Right arm Medium,,
Rinku Singh,India,Left hand Bat,Right arm Offbreak,Middle order Batter,
Jasprit Bumrah,India,Right hand Bat,Right arm Fast,Bowler,
Sharvin Muniandy,Malaysia,Right hand Bat,Right arm Medium,Bowler,
Nizakat Khan,Hong Kong,Right hand Bat,Legbreak,Allrounder,"Nizakat Khan scored 180 runs at the 2010 Under-19 World Cup Qualifiers, including two half-centuries. He also impressed with the ball, capturing ten wickets, which earned him a place in Hong Kong's squad for the main tournament."
Hernan Fennell,Argentina,Right hand Bat,Right arm Medium,,
Nathan Collins(c),Finland,Right hand Bat,Right arm Offbreak,,
Bikram Arora,Malta,Right hand Bat,Legbreak,,
SanjayKumar Thakor,Tanzania,Right hand Bat,Legbreak,,
Ashwin Vinod,Switzerland,Right hand Bat,Right arm Medium fast,,
William Cope ,Luxembourg,Right hand Bat,Right arm Medium,,
Paul Chin ,Cayman Islands,Right hand Bat,,,
Zeeshan Khan,Malta,Right hand Bat,Legbreak,,
Zain Asif,Bulgaria,Right hand Bat,Right arm Medium fast,,
Tilak Varma,India,Left hand Bat,Right arm Offbreak,Batting Allrounder,
Dhruv Parashar,United Arab Emirates,Right hand Bat,,Allrounder,
Shiv Mathur ,Hong Kong,Right hand Bat,Right arm Medium,Batter,
Shayam Warnakulasuriya,France,Right hand Bat,Right arm Medium,,
Rahmanullah Gurbaz ,Afghanistan,Right hand Bat,,Wicketkeeper Batter,
Abdul Hashmi ,Denmark,Right hand Bat,,Wicketkeeper,
Ehsan Khan,Hong Kong,Right hand Bat,Right arm Offbreak,Bowler,
Boteng Maphosa,Botswana,Right hand Bat,Right arm Medium fast,,
Clive Madande ,Zimbabwe,Right hand Bat,,Wicketkeeper Batter,
Anas Khan,Hong Kong,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
Zaman Khan,,Right hand Bat,Right arm Fast,Bowler,
Miggy Podosky,Philippines,Right hand Bat,Right arm Medium,,
Blessing Muzarabani,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,
Jahmeal Buchanan,Cayman Islands,Left hand Bat,Right arm Offbreak,,
Harsheed Chohan,Tanzania,Right hand Bat,Right arm Medium,,
Harrison Carlyon,Jersey,Right hand Bat,Right arm Offbreak,,
Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,Bowler,
Karabo Modise,Botswana,Left hand Bat,Slow Left arm Orthodox,,
Phanuwat Desungnoen,Thailand,Right hand Bat,Right arm Offbreak,,
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler,
James Barker,Luxembourg,Left hand Bat,,,
Gulam Murtaza,Cambodia,Right hand Bat,Right arm Medium,,
Hardik Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder,
Amit	Nathwani,Austria,Right hand Bat,Right arm Offbreak,,
Usman Khan,France,Right hand Bat,Right arm Medium,,
Nopphon Senamontree(c),Thailand,Right hand Bat,Slow Left arm Orthodox,,
Chaloemwong	Chatphaisan,Thailand,Right hand Bat,Right arm Medium,,
Pargat Singh,Canada,Right hand Bat,Right arm Offbreak,Allrounder,
Armaan Randhawa,Austria,,,,
Mark Chapman,New Zealand,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Born in Hong Kong, but qualifying for New Zealand through his father, Chapman began his international career with the country of his birth in 2014 having previously made the Under-19 squad as a 15-year-old. He made a century on ODI debut against UAE in 2015 having flown 20 hours following exams in New Zealand, but soon decided to throw his lot in with New Zealand and focused on his career with Auckland. His first New Zealand call-up came in early 2018 for the T20 tri-series involving England and Australia. It was reward for a prolific 2017-18 white-ball season by the left-hander, who scored over 300 runs in the Super Smash and more than 400 in the one-day Ford Trophy. He also bowls part-time left-arm spin which he has been encouraged to continue to work on. As a teenager he suffered a torn anterior cruciate ligament in his left knee playing rugby in New Zealand but it did not stall his cricket career.
ESPNcricinfo staff"
Darwish Rasooli,Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter,
Ivan Selemani,Tanzania,Right hand Bat,Right arm Offbreak,,
Shah Abrar Hussain,Cambodia,Right hand Bat,Right arm Offbreak,,
Ahmad Faiz(c),Malaysia,Right hand Bat,Legbreak,Batter,"Ahmed Faiz, is a right hand batsman who was a unanimous choice to captain Malaysia at the Under-19 World Cup in 2008. Faiz, a student at the Bandar Penawar Sports School, led the Malaysia Under-19s in two series in 2007: against India, Sri Lanka and England, and in friendly matches Australia and Bangladesh. Faiz has played in Malaysia's senior side but he would like to be a sports science lecturer if he can't become a professional cricketer. Cricinfo staff February 2008
"
Shimron Hetmyer,West Indies,Left hand Bat,,Top order Batter,"Left-hander Shimron Hetmyer catches the eye as much for his attacking strokeplay as for his hair, coloured various shades of the rainbow. "
Muhammad Jawadullah,United Arab Emirates,Left hand Bat,Left arm Fast medium,Bowler,
Rajesh Kumar,Romania,Right hand Bat,Right arm Medium fast,,
Shantanu Vashisht,Romania,Right hand Bat,Right arm Medium fast,,
Sarawut Maliwan,Thailand,Right hand Bat,Slow Left arm Orthodox,,
Ibrahim Ismail Ranguni Bhana,Panama,Left hand Bat,,,
