match_id,match_name,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,out/not_out
T20I # 2140,Romania Vs Luxembourg,Romania,1,Ramesh Satheesan(c),c Nanda b Dixit,12,12,0,1,100.00,out
T20I # 2140,Romania Vs Luxembourg,Romania,2,Taranjeet Singh,c Malav b Vijh,39,28,5,1,139.28,out
T20I # 2140,Romania Vs Luxembourg,Romania,3,Vasu Saini,run out (MalavDixit),46,39,3,1,117.94,out
T20I # 2140,Romania Vs Luxembourg,Romania,4,Satvik Nadigotla ,c J Barker b Anoop Orsu,6,7,0,0,85.71,out
T20I # 2140,Romania Vs Luxembourg,Romania,5,Manmeet Koli,c Anoop Orsu b Vijh,10,13,0,0,76.92,out
T20I # 2140,Romania Vs Luxembourg,Romania,6,Shantanu Vashisht,c Gill b Jabarkhel,23,11,5,0,209.09,out
T20I # 2140,Romania Vs Luxembourg,Romania,7,Rajesh Kumar,run out (MalavJabarkhel),16,8,2,0,200.00,out
T20I # 2140,Romania Vs Luxembourg,Romania,8,Gaurav Mishra,not out ,1,1,0,0,100.00,not_out
T20I # 2140,Romania Vs Luxembourg,Romania,9,Pratham Hingorani,not out ,0,1,0,0,0.00,not_out
T20I # 2140,Romania Vs Luxembourg,Luxembourg,1,William Cope ,c Kumar b Koli,49,26,8,0,188.46,out
T20I # 2140,Romania Vs Luxembourg,Luxembourg,2,Amit Halbhavi,c Taranjeet Singh b Gaurav Mishra,0,2,0,0,0.00,out
T20I # 2140,Romania Vs Luxembourg,Luxembourg,3,Shiv Gill,c Gaurav Mishra b Saini,32,30,3,0,106.66,out
T20I # 2140,Romania Vs Luxembourg,Luxembourg,4,Vikram Vijh(c),not out ,39,29,3,1,134.48,not_out
T20I # 2140,Romania Vs Luxembourg,Luxembourg,5,Timothy Barker,not out ,33,18,3,2,183.33,not_out
T20I # 2407,West Indies Vs England,West Indies,1,Brandon King, b Ali,8,5,2,0,160.00,out
T20I # 2407,West Indies Vs England,West Indies,2,Kyle Mayers,c  Buttler b Topley,0,3,0,0,0.00,out
T20I # 2407,West Indies Vs England,West Indies,3,Nicholas Pooran ,c Livingstone b Rashid,82,45,6,6,182.22,out
T20I # 2407,West Indies Vs England,West Indies,4,Shai Hope,c Salt b Rashid,26,19,1,2,136.84,out
T20I # 2407,West Indies Vs England,West Indies,5,Rovman Powell(c),c  Buttler b Curran,39,21,2,3,185.71,out
T20I # 2407,West Indies Vs England,West Indies,6,Sherfane Rutherford,c Salt b Curran,29,17,2,2,170.58,out
T20I # 2407,West Indies Vs England,West Indies,7,Andre Russell,not out ,8,5,0,1,160.00,not_out
T20I # 2407,West Indies Vs England,West Indies,8,Jason Holder,not out ,18,5,1,2,360.00,not_out
T20I # 2407,West Indies Vs England,England,1,Phil Salt,not out ,109,56,4,9,194.64,not_out
T20I # 2407,West Indies Vs England,England,2,Jos Buttler(c) ,c Joseph b Russell,51,34,5,2,150.00,out
T20I # 2407,West Indies Vs England,England,3,Will Jacks,c  Pooran b Motie,1,6,0,0,16.66,out
T20I # 2407,West Indies Vs England,England,4,Liam Livingstone,c Powell b Holder,30,18,0,3,166.66,out
T20I # 2407,West Indies Vs England,England,5,Harry Brook,not out ,31,7,1,4,442.85,not_out
T20I # 2153,Japan Vs Philippines,Japan,1,Lachlan YamamotoLake,c Smith b Sirah,41,44,3,0,93.18,out
T20I # 2153,Japan Vs Philippines,Japan,2,ShiraiPatmore ,run out (Smith),6,10,0,0,60.00,out
T20I # 2153,Japan Vs Philippines,Japan,3,Kendel KadowakiFleming(c), b Sirah,60,37,2,4,162.16,out
T20I # 2153,Japan Vs Philippines,Japan,4,Supun Navaratne,c Myott b Sirah,0,2,0,0,0.00,out
