match_id,match_name,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T20I # 2426,United Arab Emirates Vs Afghanistan,Afghanistan,Fazalhaq Farooqi,4,0,25,1,6.25,13,0,2,1,0
T20I # 2426,United Arab Emirates Vs Afghanistan,Afghanistan,NaveenulHaq,4,0,35,0,8.75,9,4,1,0,0
T20I # 2426,United Arab Emirates Vs Afghanistan,Afghanistan,Azmatullah Omarzai,4,0,35,2,8.75,8,4,1,0,0
T20I # 2426,United Arab Emirates Vs Afghanistan,Afghanistan,Noor Ahmad,3,0,32,0,10.66,9,2,3,1,0
T20I # 2426,United Arab Emirates Vs Afghanistan,Afghanistan,Mohammad Nabi,2,0,14,1,7.00,2,1,0,0,0
T20I # 2426,United Arab Emirates Vs Afghanistan,Afghanistan,Qais Ahmad,3,0,15,2,5.00,9,0,1,0,0
T20I # 2426,United Arab Emirates Vs Afghanistan,United Arab Emirates,Muhammad Jawadullah,4,0,26,4,6.50,13,1,2,0,0
T20I # 2426,United Arab Emirates Vs Afghanistan,United Arab Emirates,Junaid Siddique,4,0,36,1,9.00,10,4,2,0,0
T20I # 2426,United Arab Emirates Vs Afghanistan,United Arab Emirates,Akif Raja,2.5,0,33,1,11.64,7,3,2,1,0
T20I # 2426,United Arab Emirates Vs Afghanistan,United Arab Emirates,Ali Naseer,4,1,24,4,6.00,16,2,1,1,0
T20I # 2426,United Arab Emirates Vs Afghanistan,United Arab Emirates,Aayan Afzal Khan,4,0,25,0,6.25,9,1,1,0,0
T20I # 2426,United Arab Emirates Vs Afghanistan,United Arab Emirates,Basil Hameed,1,0,5,0,5.00,4,1,0,0,0
T20I # 2420,Philippines Vs Indonesia,Indonesia,Ferdinando Banunaek,4,0,18,2,4.50,11,1,0,0,0
T20I # 2420,Philippines Vs Indonesia,Indonesia,Maxi Koda,4,0,35,2,8.75,9,3,2,0,0
T20I # 2420,Philippines Vs Indonesia,Indonesia,Anjar Tadarus,2,0,31,0,15.50,3,2,3,0,0
T20I # 2420,Philippines Vs Indonesia,Indonesia,Kadek Gamantika,4,0,17,2,4.25,9,0,0,0,0
T20I # 2420,Philippines Vs Indonesia,Indonesia,Ketut Artawan,4,0,20,2,5.00,8,1,0,0,0
T20I # 2420,Philippines Vs Indonesia,Indonesia,Danilson Hawoe,2,0,14,0,7.00,5,0,1,0,0
T20I # 2420,Philippines Vs Indonesia,Philippines,Kepler Lukies,4,0,29,0,7.25,10,1,2,0,0
T20I # 2420,Philippines Vs Indonesia,Philippines,Henry Tyler,3.1,0,26,1,8.21,10,4,0,3,2
T20I # 2420,Philippines Vs Indonesia,Philippines,Huzaifa Mohammed,4,0,28,1,7.00,12,2,1,1,0
T20I # 2420,Philippines Vs Indonesia,Philippines,Liam Myott,4,0,17,2,4.25,11,1,0,0,0
T20I # 2420,Philippines Vs Indonesia,Philippines,Amanpreet Sirah,4,0,28,2,7.00,8,0,2,0,0
T20I # 2420,Philippines Vs Indonesia,Philippines,Kulwinderjeet Singh,0.5,0,6,2,7.20,4,0,1,0,0
