name,team,battingStyle,playingRole,bowlingStyle,description,image_link
Lachlan YamamotoLake,Japan,Right hand Bat,,,,
ShiraiPatmore ,Japan,Left hand Bat,Wicketkeeper Batter,,,
Fred Achelam,Uganda,Right hand Bat,Wicketkeeper Batter,,,
Akshay Naidoo,Cayman Islands,Right hand Bat,,Right arm Offbreak,,
Asif Ali,Pakistan,Right hand Bat,Middle order Batter,Right arm Offbreak,"Where was Asif Ali in the years Pakistan had been crying out for a power hitter? It took the exposure of the PSL for Asif Ali to come to prominence in an Islamabad United side that owed much to him for their title-winning campaign in 2018. A six in a Super Over against Mustafizur Rahman got their campaign up and running, and it wasn't until he smashed three sixes in arrow in a nerve-wracking chase that his side were assured victory. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322100/322192.png"
Omid Mailk Khel ,Belgium,Right hand Bat,,,,
Dominik Faletar,Croatia,Right hand Bat,,Right arm Medium,,
Nimesh Vimukthi,Sri Lanka,Left hand Bat,Allrounder,Slow Left arm Orthodox,,
Donnex Kansonkho,Malawi,Left hand Bat,,Right arm Medium,,
Raoul Sharma,Singapore,Right hand Bat,,Right arm Medium,,
Babar Hayat,Hong Kong,Right hand Bat,Batter,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321800/321898.png"
Shahid Afridi,Germany,Right hand Bat,,Right arm Medium,,
Sandeep Lamichhane,Nepal,Right hand Bat,Bowler,Legbreak Googly,"Discovered as a 14-year-old by then Nepal coach Pubudu Dassanayake during a pit stop in the remote Chitwan Province on the way from Kathmandu to left-arm spinner Basant Regmi's wedding, Sandeep Lamichhane has continued to make the most of good fortune at every opportunity to come his way.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330467.png"
Junaid Aziz,Bahrain,Right hand Bat,Batting Allrounder,Legbreak Googly,,
Laxman Gaonkar(c),Panama,Right hand Bat,,,,
Sheraz Sheikh,Belgium,Right hand Bat,Bowler,Slow Left arm Orthodox,,
Harry Manenti,Italy,Right hand Bat,,Right arm Medium fast,,
Ross Adair,Ireland,Right hand Bat,Top order Batter,Slow Left arm Orthodox,,
Sompal Kami,Nepal,Right hand Bat,Bowling Allrounder,Right arm Fast medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330477.png"
Paul Stirling(c),Ireland,Right hand Bat,Batting Allrounder,Right arm Offbreak,"Paul Stirling has long been recognised as a formidable cricketing talent both in Ireland and beyond. Before his 23rd birthday, he had already hit two ODI centuries against Pakistan. With a natural swagger and belligerence allied to a portly build, Stirling has evoked comparisons with Jesse Ryder. He generates huge power with seemingly little effort and is particularly strong lashing the ball straight or pulling the ball over midwicket. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316638.png"
Gede Prastama,Indonesia,Right hand Bat,,,,
Laxman Gaonkar(c) ,Panama,Right hand Bat,,,,
Richard Ngarava,Zimbabwe,Left hand Bat,Bowler,Left arm Fast medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348500/348597.png"
Abhitesh Prashar,Hungary,Left hand Bat,,Right arm Medium,,
Oscar Manishimwe,Rwanda,Right hand Bat,,,,
Saeed Ahmed,Sweden,,,,,
Litton Das ,Bangladesh,Right hand Bat,Wicketkeeper Batter,Right arm Offbreak,"Litton Das made his way into the Bangladesh senior sides following his exploits for Abahani in the Dhaka Premier League, and Rangpur Division in the National Cricket League in 2014-15, where he was the top scorer. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319727.png"
Ronak Patel,Uganda,Right hand Bat,,Slow Left arm Orthodox,,
Zappy Bimenyimana,Rwanda,Right hand Bat,,Right arm Medium,,
Shagharai Sefat,Belgium,Right hand Bat,,Right arm Medium,,
Oscar Manishimwe ,Rwanda,Right hand Bat,,,,
Muhammad Waseem(c),United Arab Emirates,Right hand Bat,Opening Batter,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/354900/354962.png"
Gulbadin Naib,Afghanistan,Right hand Bat,Batting Allrounder,Right arm Medium fast,"Gulbadin Naib's first love in sport was amateur bodybuilding, not cricket. When he eventually did take the game up, however, he progressed quickly through Afghanistan's age-group sides as a batting allrounder and was the youngest member of the team that won the Division Five tournament in 2008 - the first stepping stone to the full world stage.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316661.png"
Ruturaj Gaikwad,India,Right hand Bat,Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322236.png"
Travis Head,Australia,Left hand Bat,Top order Batter,Right arm Offbreak,"A talented, aggressive left-hand batter earmarked for big things at a young age, it was Travis Head's second coming as an international cricketer where his career really took off. In late 2021 he was recalled for the Ashes series and made a match-defining 85-ball century at the Gabba - it set the tone for a strong of destructive Test innings while he also reemerged as a white-ball force, so central to Australia's 2023 ODI World Cup plans that they waited for him to recover from a broken hand. In the final against India he made 137 off 120 balls. A cult hero was born.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321584.png"
Imran Anwar,Bahrain,Right hand Bat,Allrounder,Left arm Medium,,
David Marks,Malta,Right hand Bat,,Right arm Fast,,
Emile Rukiriza,Rwanda,Right hand Bat,,Right arm Offbreak,,
Laxman Gaonkar,Panama,Right hand Bat,,,,
